mag_u,mag_g,mag_r,mag_i,mag_z,redshift
22.393,23.570,21.247,19.665,19.179,0.6564
22.349,22.548,20.940,19.828,19.277,0.6418
24.928,22.991,20.573,19.404,19.081,0.6260
22.345,22.652,21.024,20.066,19.506,0.6649
22.349,21.997,20.255,19.422,18.946,0.4433
24.506,22.225,20.592,19.714,19.174,0.4865
24.874,21.916,20.315,19.445,18.961,0.4892
23.099,22.475,20.695,19.888,19.777,0.3512
22.124,22.704,20.716,19.725,19.422,0.5250
24.857,22.676,21.043,19.871,19.226,0.6645
22.989,22.902,20.758,19.801,19.743,0.4897
22.533,22.374,20.748,19.621,19.181,0.6399
22.559,22.651,20.872,19.918,19.405,0.4995
21.998,21.902,20.439,19.365,18.887,0.5499
24.843,22.562,20.748,19.862,19.422,0.4928
23.039,21.453,19.596,18.673,18.259,0.4879
23.014,22.008,20.485,19.355,19.190,0.5574
25.375,22.286,20.836,19.771,19.365,0.5700
23.934,22.000,20.738,19.639,19.164,0.6098
23.850,21.123,19.557,18.688,18.228,0.4765
23.207,21.782,20.327,19.540,19.239,0.4982
22.813,21.332,19.521,18.720,18.323,0.4689
25.941,22.124,20.499,19.414,18.900,0.5969
22.806,22.518,20.815,19.738,19.355,0.5714
24.209,21.772,20.034,19.228,18.723,0.4763
22.616,22.200,20.393,19.585,19.033,0.5566
23.301,21.507,19.772,18.927,18.474,0.4690
25.641,22.382,20.713,19.655,19.197,0.5931
24.782,22.436,20.880,19.851,19.288,0.6091
23.395,23.048,20.989,19.842,19.411,0.6682
23.294,22.847,20.818,20.010,19.231,0.4904
23.720,22.136,20.569,19.670,19.167,0.5150
26.538,22.455,20.474,19.451,18.966,0.5313
26.311,22.343,20.790,19.738,19.180,0.6862
22.905,22.138,20.628,19.597,19.057,0.6027
25.701,20.577,19.498,18.580,18.130,0.6808
25.850,22.217,20.351,19.505,19.052,0.4708
22.788,22.825,20.979,20.027,19.646,0.5283
26.774,23.202,20.989,19.943,19.408,0.5502
26.163,22.196,20.479,19.622,19.314,0.4726
25.789,21.804,20.291,19.481,19.153,0.4712
