mag_u,mag_g,mag_r,mag_i,mag_z,redshift
23.341,22.340,20.520,19.523,19.176,0.5731
23.825,21.600,19.930,19.177,18.776,0.4483
26.502,21.934,20.286,19.354,18.902,0.5198
22.754,22.038,20.609,19.835,19.239,0.5336
25.487,21.251,19.648,18.895,18.460,0.3959
23.624,21.762,20.106,19.045,18.523,0.5898
23.431,21.371,20.155,19.400,18.959,0.5203
24.425,22.502,20.567,19.667,19.149,0.4986
24.813,22.214,20.493,19.594,19.308,0.5341
23.148,21.909,20.525,19.550,19.147,0.4549
22.135,22.027,20.534,19.459,19.146,0.5364
24.474,22.249,20.923,19.727,19.339,0.7253
23.382,21.943,21.348,20.177,19.959,0.7510
25.128,21.858,20.349,19.449,18.970,0.4857
25.662,21.849,20.141,19.155,18.581,0.5276
24.532,22.497,21.064,19.886,19.526,0.5621
23.005,22.010,20.664,19.912,19.484,0.5660
23.617,22.262,20.692,19.782,19.413,0.5241
23.384,22.170,20.434,19.453,19.085,0.5332
23.558,21.472,19.775,18.916,18.393,0.5089
22.880,22.366,20.960,19.990,19.338,0.5617
23.143,22.207,20.396,19.526,19.062,0.4943
22.908,22.751,21.002,20.007,19.601,0.5648
24.865,22.245,20.665,19.715,19.239,0.5506
22.729,21.592,20.016,19.089,18.643,0.5710
24.139,21.741,20.068,19.100,18.605,0.5287
24.665,22.415,20.534,19.728,19.196,0.5236
22.822,22.082,20.598,19.795,19.517,0.5342
22.797,21.826,20.252,19.208,18.865,0.6247
24.969,22.834,21.223,19.948,19.314,0.6399
25.103,21.785,20.652,19.760,19.245,0.5639
23.389,21.240,19.481,18.718,18.261,0.4485
25.688,22.245,20.052,19.072,18.675,0.5078
23.133,22.179,20.768,19.843,19.312,0.6052
22.428,22.398,20.519,19.423,19.204,0.6163
22.859,21.767,20.161,19.384,19.094,0.4505
23.315,21.912,20.296,19.288,18.768,0.5239
22.646,22.534,20.962,20.048,19.611,0.5203
25.957,21.988,20.572,19.406,19.017,0.5596
23.350,21.495,19.882,18.966,18.745,0.5078
22.256,21.538,20.410,19.612,19.400,0.4262
22.691,22.037,20.407,19.472,18.989,0.5915
24.752,22.600,21.101,19.989,19.489,0.4297
24.457,22.267,20.676,19.723,19.405,0.5499
25.440,21.738,20.300,19.300,18.764,0.5524
24.841,22.603,20.881,19.734,19.244,0.5835
23.124,22.261,20.577,19.633,19.305,0.5550
23.779,22.295,20.869,19.798,19.243,0.7708
23.316,22.204,20.929,19.937,19.260,0.5363
22.713,21.853,20.380,19.391,19.019,0.5339
22.500,21.524,19.829,18.827,18.422,0.5379
24.592,22.409,20.945,19.788,19.280,0.5891
23.067,22.213,20.728,19.576,19.194,0.5667
23.574,21.909,20.299,19.357,18.991,0.5380
23.443,21.793,20.376,19.622,19.126,0.5600
22.340,21.779,20.686,19.823,19.572,0.5599
22.605,22.048,20.451,19.427,18.989,0.5584
24.042,22.481,20.582,19.670,19.034,0.5174
23.566,21.998,20.397,19.381,18.779,0.7832
24.002,22.616,20.764,19.708,19.305,0.5364
23.617,22.815,21.457,20.191,19.721,0.5567
23.638,21.872,20.121,19.047,18.541,0.5633
24.247,21.879,20.290,19.289,18.778,0.5628
25.158,22.712,20.692,19.788,19.377,0.5597
25.330,23.392,21.079,19.965,19.239,0.7270
25.060,21.424,20.092,19.247,18.800,0.5557
21.271,20.082,18.506,17.480,17.009,0.5376
22.310,22.328,20.711,19.669,19.382,0.5885
22.308,21.600,19.931,18.967,18.616,0.5311
23.840,21.139,19.581,18.834,18.551,0.4841
25.317,22.543,20.920,19.943,19.423,0.5367
22.880,22.496,20.956,20.134,19.606,0.5697
23.994,22.575,20.843,19.866,19.312,0.4810
25.296,22.237,20.570,19.583,18.974,0.5248
23.222,21.981,20.760,19.817,19.527,0.5601
25.479,22.228,20.443,19.488,19.142,0.5654
24.846,22.356,20.869,19.824,19.581,0.5657
24.683,22.231,20.832,19.837,19.562,0.6156
23.779,22.651,20.870,19.954,19.456,0.5581
23.623,21.764,20.144,19.457,18.933,0.3990
25.190,22.557,20.966,20.001,19.776,0.5663
23.910,21.891,20.654,19.798,19.265,0.5406
22.738,21.842,20.459,19.538,18.812,0.5681
25.425,22.059,20.232,19.409,19.020,0.4910
22.243,20.087,18.383,17.716,17.359,0.4003
24.612,22.168,20.619,19.614,19.468,0.5862
24.488,22.709,20.882,19.857,19.458,0.6406
24.370,22.141,20.479,19.422,18.849,0.5396
22.473,21.485,20.022,19.167,18.638,0.5405
23.401,21.713,20.533,19.644,19.174,0.5569
22.645,21.583,20.017,19.167,18.747,0.5261
22.940,22.822,20.851,19.737,19.348,0.6401
26.191,22.289,20.634,19.495,19.117,0.5299
22.492,21.741,20.092,19.323,18.975,0.4830
25.147,22.137,20.000,19.035,18.590,0.5422
26.015,22.911,20.887,19.735,19.201,0.6201
23.181,21.855,20.214,19.238,18.789,0.5153
23.664,21.398,20.036,19.092,18.602,0.5166
19.385,22.073,20.706,19.489,19.892,0.5942
24.155,23.163,21.108,20.144,19.529,0.5373
24.295,22.157,20.757,19.735,19.264,0.5431
22.565,21.828,20.693,19.785,19.566,0.5920
22.448,22.205,20.466,19.392,19.094,0.5383
24.524,22.086,20.699,19.840,19.337,0.5002
23.246,21.612,20.382,19.505,18.990,0.5224
25.794,21.947,20.278,19.358,19.029,0.5396
23.936,21.916,20.491,19.618,19.550,0.2892
22.253,22.029,20.430,19.450,18.985,0.5651
23.957,22.198,20.575,19.595,19.157,0.5406
26.258,22.574,20.575,19.513,18.880,0.6215
23.770,22.141,20.384,19.284,18.781,0.5963
25.643,21.545,19.890,18.885,18.428,0.5382
23.816,21.960,20.384,19.484,19.046,0.5250
23.049,22.087,20.392,19.525,19.054,0.5468
23.522,22.373,20.631,19.694,19.319,0.5240
23.523,22.437,20.767,19.735,19.204,0.5406
24.135,21.847,20.418,19.610,19.271,0.5002
22.699,22.251,21.189,19.843,19.367,0.8312
23.326,22.000,20.502,19.550,18.913,0.5487
24.888,23.516,21.589,19.949,19.313,0.7440
24.236,22.325,20.729,19.831,19.387,0.5230
23.692,21.756,20.376,19.494,19.066,0.5743
22.819,21.919,20.740,19.850,19.348,0.6386
25.364,21.938,20.145,19.093,18.705,0.5565
22.769,22.382,20.772,19.671,19.263,0.5263
24.203,21.621,20.188,19.273,18.694,0.5340
24.976,23.037,21.287,19.908,19.431,0.6436
24.031,22.315,20.543,19.340,18.993,0.5955
23.577,22.076,20.700,19.770,19.385,0.6573
25.132,21.197,19.578,18.813,18.406,0.4430
23.387,21.900,20.322,19.519,18.968,0.5017
25.293,21.332,19.565,18.876,18.494,0.4004
22.699,21.086,19.719,18.963,18.656,0.4602
22.273,22.519,20.339,19.390,18.839,0.5367
24.742,22.465,20.684,19.648,19.141,0.5401
22.716,22.621,21.255,20.145,19.976,0.6621
23.147,22.526,20.798,19.745,19.369,0.5644
25.869,21.305,19.581,18.914,18.552,0.4004
24.528,22.832,21.098,19.874,19.069,0.6894
23.271,21.042,19.443,18.988,18.444,0.3243
26.449,21.717,20.076,19.028,18.434,0.5533
24.924,22.121,20.356,19.327,18.841,0.5306
24.395,23.029,21.042,20.047,19.833,0.5377
23.757,22.352,20.589,19.616,19.098,0.4884
24.003,21.826,20.269,19.170,18.705,0.5683
25.646,22.481,20.723,19.577,19.136,0.5553
24.728,22.765,20.939,19.933,19.489,0.5427
23.283,21.034,19.527,18.897,18.576,0.3510
24.546,21.968,20.554,19.614,19.201,0.5012
23.005,22.229,20.119,19.123,18.622,0.5359
23.282,21.468,19.875,18.781,18.411,0.5426
23.072,20.856,19.544,18.792,18.433,0.0001
23.416,22.153,20.534,19.606,19.099,0.5057
25.600,22.747,21.226,19.935,19.515,0.6436
22.943,22.500,21.153,20.141,19.543,0.6663
25.153,22.225,20.683,19.784,19.299,0.5394
25.623,22.015,20.594,19.808,19.510,0.5049
21.435,20.935,19.660,18.838,18.632,0.5124
25.458,21.959,20.008,19.143,18.535,0.5355
23.463,21.234,19.638,18.985,18.647,0.3026
23.668,21.295,19.838,19.160,18.719,0.3726
22.363,22.255,20.497,19.448,19.090,0.5392
26.349,22.561,20.443,19.319,19.106,0.5385
24.553,21.864,20.230,19.346,19.064,0.5116
22.715,22.077,20.805,19.817,19.265,0.6500
22.328,21.655,20.562,19.740,19.451,0.6345
23.060,21.406,19.669,19.014,18.658,0.3155
24.416,22.239,20.887,19.798,19.428,0.5400
24.605,22.204,20.475,19.601,19.193,0.5106
25.401,22.123,20.502,19.501,19.027,0.5132
23.318,22.372,21.270,20.183,19.736,0.5578
22.711,22.285,20.753,19.977,19.543,0.4968
22.776,22.024,20.478,19.594,19.157,0.5429
23.634,22.094,20.648,19.659,19.311,0.5424
22.523,22.235,20.492,19.644,19.144,0.4955
23.655,22.541,20.890,19.764,19.451,0.5561
22.563,21.976,20.330,19.330,18.869,0.4977
22.357,22.071,20.879,20.005,19.566,0.6123
22.897,21.247,19.538,18.617,18.149,0.5272
23.981,21.232,20.091,18.999,18.598,0.3446
25.084,21.740,19.599,18.532,18.046,0.5278
24.637,21.762,20.114,18.965,18.393,0.5692
23.327,21.993,20.261,19.397,18.855,0.5308
23.053,22.391,21.138,21.500,20.126,0.4331
26.428,22.200,20.627,19.520,19.045,0.5434
22.574,21.601,19.956,18.941,18.494,0.5417
24.697,22.248,20.611,19.582,19.245,0.5396
23.722,21.845,20.236,19.141,18.679,0.5461
23.667,21.766,19.767,18.867,18.400,0.5719
23.689,22.942,20.806,19.716,19.041,0.6439
24.248,21.961,20.588,19.276,18.510,0.0003
22.082,22.030,20.570,19.669,19.289,0.5386
25.826,21.977,20.441,19.519,19.054,0.5297
23.776,21.538,19.843,18.695,18.205,0.5434
25.192,21.896,20.526,19.529,19.438,0.6279
23.788,22.250,20.859,20.059,19.758,0.5575
24.680,22.018,20.877,19.747,19.277,0.5778
24.220,21.609,20.259,19.400,18.953,0.5646
23.025,21.901,20.117,19.305,18.888,0.5085
22.155,21.353,19.661,18.735,18.285,0.5283
23.238,22.288,21.025,19.770,19.180,0.6434
22.672,21.864,20.344,19.295,18.841,0.5299
24.310,21.791,20.560,19.648,19.453,0.5697
22.084,21.632,20.266,19.556,19.221,0.5288
23.096,22.588,21.159,19.947,19.265,0.6871
23.231,22.321,20.406,19.357,18.755,0.6023
24.791,21.318,20.171,19.340,19.156,0.5204
25.346,22.736,20.986,19.938,19.552,0.5074
25.819,22.606,20.492,19.456,19.121,0.5954
23.528,22.139,20.387,19.585,19.052,0.5079
25.009,21.546,19.934,19.310,18.768,0.3685
24.548,22.198,20.665,19.886,19.421,0.4992
23.369,22.376,20.726,19.822,19.263,0.5294
24.629,21.311,19.558,18.648,18.073,0.5639
22.526,22.780,20.942,19.995,19.409,0.5568
25.119,21.321,19.738,18.627,18.106,0.5428
24.117,22.360,20.647,19.602,19.084,0.5656
23.894,21.495,20.001,19.084,18.599,0.5439
24.163,21.393,19.689,18.996,18.424,0.2987
23.310,22.298,20.708,19.606,19.107,0.5396
23.271,22.170,20.299,19.480,19.009,0.5221
24.643,22.090,20.434,19.470,19.059,0.5570
23.049,21.657,20.377,19.441,19.037,0.5295
22.048,21.254,19.982,19.187,18.539,0.0012
24.774,22.007,20.183,19.253,18.682,0.5066
23.189,22.312,20.617,19.431,18.698,0.0003
25.066,22.424,20.740,19.806,19.261,0.5473
23.371,21.534,19.765,18.896,18.429,0.4542
22.839,21.180,19.620,18.799,18.248,0.4826
26.261,21.729,19.808,18.757,18.102,0.5412
22.828,21.703,20.100,19.287,18.913,0.5207
23.782,22.521,20.774,19.871,19.464,0.4892
22.361,22.430,20.727,19.708,19.172,0.5562
22.948,23.127,21.895,21.077,20.647,0.7288
23.694,23.257,20.800,19.873,19.443,0.5566
26.172,21.577,19.810,18.819,18.266,0.5703
22.077,21.875,20.590,19.744,19.231,0.6032
24.445,22.658,20.852,19.708,19.268,0.6444
23.308,22.060,20.478,19.690,19.370,0.5456
23.655,22.153,20.351,19.339,18.836,0.5501
26.007,21.567,19.789,19.005,18.525,0.4800
22.583,22.862,21.067,19.934,19.449,0.6347
24.581,21.760,20.160,19.231,18.792,0.5482
23.476,21.988,20.231,19.230,18.732,0.5416
23.303,22.345,20.602,19.673,19.191,0.5494
21.837,22.075,20.401,19.413,19.163,0.5496
23.487,21.951,20.100,19.201,18.747,0.5233
22.394,22.198,20.622,19.707,19.290,0.5476
25.015,22.099,20.518,19.542,19.180,0.5411
23.808,21.591,20.113,19.444,19.068,0.4084
23.935,22.097,20.270,19.350,18.956,0.5582
22.550,21.688,20.122,19.102,18.556,0.5468
22.083,20.880,19.439,18.446,17.919,0.5614
25.557,22.033,20.605,19.812,19.400,0.4591
24.266,21.572,20.516,19.294,19.023,0.6360
22.727,21.641,20.404,19.576,19.342,0.5437
24.325,22.314,21.108,20.113,19.832,0.6425
22.694,22.092,21.188,19.697,19.960,0.2907
22.799,22.516,20.715,19.457,19.022,0.6404
24.309,21.573,19.944,18.941,18.458,0.5467
23.415,21.929,20.289,19.440,18.973,0.5046
23.753,22.659,20.827,19.718,19.137,0.6244
22.332,21.798,20.415,19.400,18.891,0.5457
25.694,22.862,21.199,20.078,19.480,0.5450
24.188,21.694,20.097,19.429,18.932,0.4723
25.618,22.859,21.200,19.961,19.605,0.6147
23.769,21.853,20.475,19.538,19.109,0.5500
23.326,22.125,20.492,19.421,19.036,0.6255
24.449,22.235,20.834,19.575,19.073,0.6370
23.699,21.899,20.441,19.602,19.158,0.5130
22.921,22.319,20.499,19.665,19.192,0.4976
24.491,22.072,20.491,19.645,19.203,0.4955
23.029,22.468,20.640,19.474,18.947,0.6385
22.325,21.377,20.037,19.335,18.727,0.5660
25.071,22.242,20.866,19.896,19.352,0.5668
23.178,21.921,20.534,19.699,19.419,0.6385
23.389,22.336,20.675,19.707,19.331,0.5049
24.688,21.986,20.488,19.701,19.172,0.3707
23.869,23.040,21.058,19.971,19.391,0.6453
26.150,22.047,19.825,18.916,18.509,0.5480
22.175,22.166,20.371,19.357,18.811,0.5480
23.035,22.876,21.143,19.920,19.518,0.6411
24.581,20.683,18.964,18.292,17.902,0.3358
23.963,22.796,20.903,19.802,19.299,0.5610
23.751,20.777,19.095,18.328,17.924,0.4589
24.269,22.289,20.603,19.540,19.055,0.6151
23.969,22.655,21.248,20.075,19.676,0.6132
22.710,22.265,20.490,19.432,19.242,0.6298
23.177,22.117,20.744,19.114,18.218,0.0004
21.894,22.170,20.652,19.683,19.198,0.6293
22.687,22.166,20.223,19.206,18.829,0.5168
23.346,21.788,20.401,19.257,18.838,0.6275
23.337,22.050,20.465,19.716,19.120,0.3340
25.474,21.404,19.951,19.096,18.573,0.4652
24.491,22.873,21.130,19.878,19.476,0.6319
24.840,23.050,21.392,20.054,19.477,0.7244
22.036,21.529,20.415,19.693,19.487,0.5236
22.251,21.659,20.407,19.603,19.250,0.5163
24.939,21.586,20.301,19.127,18.538,0.0002
22.471,22.645,20.800,19.560,19.031,0.5883
23.071,21.551,20.076,19.238,18.767,0.5464
24.621,22.727,20.997,19.807,19.573,0.6186
22.675,22.566,20.997,19.852,19.490,0.6290
26.227,22.224,20.587,19.769,19.593,0.6066
22.475,21.864,20.171,19.322,19.001,0.4647
24.681,21.550,20.089,19.437,19.116,0.3790
22.511,20.886,19.398,18.645,18.156,0.0004
24.972,22.747,21.007,19.836,19.411,0.5753
24.100,21.722,20.163,19.488,19.055,0.4094
24.845,21.722,19.966,18.931,18.420,0.5486
23.796,22.681,21.049,20.109,19.663,0.5413
24.474,22.281,20.787,19.727,19.352,0.5616
23.418,22.462,20.944,20.071,19.834,0.5470
24.936,21.215,19.551,18.729,18.228,0.4602
22.589,21.556,19.684,18.993,18.625,0.3346
22.932,21.839,20.547,19.707,19.124,0.6048
22.827,22.179,20.326,19.332,19.000,0.5713
23.865,21.422,19.826,18.899,18.445,0.5525
21.675,20.958,19.797,18.946,18.491,0.5482
24.324,22.461,20.859,19.909,19.431,0.5277
23.006,21.707,20.884,19.878,19.486,0.4042
24.907,22.320,20.367,19.449,19.001,0.5267
24.592,21.444,19.833,19.041,18.668,0.4615
24.970,22.823,21.097,19.960,19.125,0.6252
25.724,21.936,20.320,19.351,18.684,0.5498
25.382,23.150,20.993,20.023,19.519,0.5473
22.005,22.221,20.413,19.272,18.942,0.5387
24.041,21.148,19.664,18.668,18.223,0.5545
21.889,21.338,20.212,19.139,18.588,0.5889
25.460,21.786,20.093,19.254,18.842,0.4874
22.606,21.906,20.355,19.369,18.821,0.5597
24.001,21.387,19.954,19.019,18.448,0.5850
22.041,21.385,19.925,19.276,18.895,0.4104
24.353,22.398,21.136,20.181,19.514,0.6225
23.427,22.152,20.464,19.685,19.137,0.4934
25.662,22.453,21.042,19.866,19.217,0.6266
24.752,21.488,20.215,19.440,18.918,0.4617
23.082,22.171,20.616,19.695,19.246,0.4896
24.027,22.370,20.868,19.720,19.512,0.6252
24.726,21.568,20.010,19.101,18.703,0.4656
23.031,21.693,20.167,19.362,19.003,0.4625
26.392,22.015,20.314,19.330,18.882,0.5535
22.299,21.540,20.349,19.303,18.746,0.3396
23.506,21.998,20.825,19.959,19.873,0.5715
24.451,21.908,20.202,19.387,19.174,0.4602
25.706,22.382,20.937,19.877,19.401,0.5541
24.936,21.855,20.067,19.386,18.793,0.4448
22.813,22.088,20.463,19.701,19.224,0.4641
24.970,22.881,20.871,19.829,19.620,0.5629
23.963,22.088,20.542,19.794,19.306,0.3948
21.762,21.007,19.609,18.761,18.451,0.5491
25.370,21.722,20.124,19.207,18.666,0.4984
22.544,23.386,21.028,19.859,19.388,0.6254
25.648,22.006,20.431,19.672,19.046,0.4563
25.276,22.191,20.344,19.444,18.901,0.5718
22.820,21.964,20.524,19.724,19.479,0.5743
24.084,22.479,20.853,19.900,19.447,0.5489
25.124,22.039,20.115,19.387,18.978,0.4356
22.015,23.146,20.609,19.391,18.768,0.6598
23.928,22.215,20.441,19.612,19.175,0.4693
24.524,22.333,20.621,19.616,19.047,0.5702
23.948,21.216,19.469,18.763,18.384,0.4147
25.480,22.461,20.633,19.697,19.215,0.4589
23.874,23.071,21.371,20.387,19.954,0.4890
24.069,21.997,20.167,19.390,18.997,0.3422
22.523,21.986,20.959,19.929,19.692,0.6269
23.444,21.974,20.032,19.106,18.712,0.5248
24.480,23.054,21.652,20.324,19.662,0.7257
22.921,22.388,20.586,19.605,18.973,0.5415
22.823,21.401,19.853,18.938,18.528,0.5429
22.382,22.153,20.744,19.885,19.636,0.5752
25.636,22.194,20.285,19.430,18.921,0.4915
23.165,21.551,19.775,19.116,18.485,0.4190
25.320,21.946,20.241,19.469,19.049,0.4593
22.170,20.919,18.991,18.288,17.855,0.3698
22.995,21.819,20.368,19.561,19.061,0.5495
22.327,22.387,20.588,19.578,19.155,0.5496
22.995,21.819,20.368,19.561,19.061,0.5490
24.929,22.394,20.780,19.960,19.814,0.4792
23.439,22.733,21.146,20.137,19.699,0.5552
22.778,20.287,18.766,18.133,17.716,0.4180
25.348,22.158,20.271,19.225,18.747,0.5735
22.483,20.993,19.510,18.843,18.447,0.7128
26.451,21.549,20.116,19.089,18.579,0.5429
22.810,22.014,20.626,19.844,19.665,0.2909
22.820,21.555,19.885,18.708,18.329,0.5749
21.560,21.327,19.958,19.048,18.608,0.4955
25.214,23.250,21.173,20.047,19.554,0.5428
24.026,21.991,20.388,19.468,19.183,0.5748
25.071,22.247,20.702,19.771,19.244,0.4953
23.001,21.960,20.259,19.443,18.829,0.4818
21.703,21.285,20.027,19.238,18.847,0.5432
23.238,21.001,19.505,18.843,18.441,0.7673
23.614,23.045,21.006,19.912,19.560,0.5517
23.531,21.914,20.385,19.408,18.871,0.5341
25.806,21.781,20.426,19.536,18.967,0.5757
24.629,21.535,19.786,18.963,18.444,0.4938
24.928,21.940,20.566,19.339,18.929,0.5757
24.074,22.307,20.585,19.805,19.573,0.4718
22.397,21.436,20.055,19.306,18.996,0.4788
23.948,20.857,19.179,18.480,18.086,0.3611
22.416,22.061,20.516,19.653,19.310,0.4789
22.338,22.117,20.707,19.927,19.590,0.5709
23.842,21.952,20.528,19.544,19.051,0.6042
24.454,22.055,20.716,19.656,19.189,0.5740
22.262,21.395,19.760,19.081,18.630,0.3963
22.330,21.621,20.431,19.368,18.932,0.6643
24.413,21.907,20.332,19.518,18.997,0.4790
23.284,23.075,20.960,20.075,19.459,0.4953
24.716,22.577,21.004,19.841,19.478,0.5742
24.091,21.182,19.710,18.814,18.245,0.4730
22.340,21.477,20.456,19.489,19.273,0.7429
22.573,22.228,20.585,19.572,19.064,0.5566
22.221,22.126,20.826,20.062,19.868,0.5765
24.034,22.226,20.628,19.460,18.980,0.5757
24.261,22.327,20.599,19.397,19.243,0.3939
24.126,21.694,20.159,19.394,18.920,0.4780
25.661,21.455,19.775,19.102,18.683,0.4226
22.600,21.044,19.838,19.022,18.460,0.5500
22.638,21.683,20.643,19.724,19.326,0.6895
24.996,22.285,20.886,20.096,19.602,0.4743
23.089,22.331,20.535,19.587,19.179,0.5255
23.089,21.791,20.496,19.169,18.232,0.0001
26.601,23.043,20.653,19.515,18.953,0.6115
21.970,21.884,20.138,19.183,18.584,0.4950
22.816,21.550,19.921,18.805,18.196,0.5742
23.529,22.445,20.852,19.782,19.218,0.5346
23.622,21.969,20.209,19.510,19.214,0.3462
22.919,21.707,20.323,19.406,18.867,0.5025
23.243,22.301,20.449,19.692,19.236,0.4954
24.420,22.196,20.509,19.696,19.220,0.4936
22.473,21.710,20.387,19.622,19.208,0.0005
22.658,22.070,20.632,19.872,19.394,0.5761
25.417,21.842,20.562,19.566,19.305,0.5508
24.749,22.435,20.791,19.898,19.455,0.5912
23.076,22.432,21.094,19.492,18.650,0.0004
24.911,21.225,19.504,18.846,18.373,0.4136
25.116,22.482,20.442,19.422,19.366,0.5254
23.406,21.503,19.971,19.361,18.838,0.4261
24.180,21.649,20.399,19.096,18.330,0.6866
22.270,22.127,20.528,19.615,19.097,0.5404
22.936,21.892,20.194,19.310,18.926,0.4590
24.004,21.162,19.344,18.631,18.315,0.4276
24.537,23.416,20.970,19.949,19.450,0.5785
23.475,21.082,19.342,18.687,18.249,0.3896
23.739,21.619,20.273,19.444,18.974,0.5264
22.231,21.767,20.473,19.643,19.338,0.5525
23.700,22.260,20.347,19.351,18.892,0.5064
25.274,22.174,20.625,19.878,19.455,0.4585
23.055,21.797,20.102,19.297,18.857,0.5159
22.883,22.117,20.496,19.557,19.088,0.5176
23.579,21.688,20.282,19.516,19.203,0.5353
23.590,22.086,20.837,19.494,18.525,0.5758
23.998,21.335,19.785,18.781,18.468,0.5274
22.786,21.386,19.771,18.977,18.596,0.4474
23.932,21.850,20.043,19.046,18.688,0.5265
23.301,22.296,20.469,19.575,19.044,0.4988
22.462,20.880,19.283,18.302,17.764,0.5262
23.314,22.169,20.421,19.425,18.978,0.5503
25.844,22.417,20.743,19.782,19.426,0.5169
23.266,21.568,20.003,19.260,18.902,0.4738
21.731,20.719,19.145,18.485,17.990,0.4030
22.493,20.909,19.076,18.395,18.051,0.4273
22.825,21.767,20.176,19.221,18.762,0.5508
24.665,20.286,18.853,18.109,17.735,0.2524
23.890,21.747,20.021,19.356,19.039,0.4057
22.645,21.817,19.881,19.267,18.914,0.3866
22.441,22.101,20.536,19.546,19.015,0.5504
24.116,22.748,21.072,19.853,19.279,0.6522
23.394,22.642,20.495,19.677,19.172,0.4600
21.677,21.455,20.271,19.290,18.937,0.5273
23.703,21.481,19.846,19.184,18.851,0.5131
23.571,20.759,19.056,18.080,17.610,0.5012
24.696,21.484,19.991,19.336,18.750,0.5074
22.399,21.840,20.169,19.314,18.872,0.4747
23.945,20.964,19.445,18.820,18.346,0.7269
22.243,22.197,20.522,19.429,18.919,0.5228
24.939,22.294,20.615,19.365,18.978,0.6035
21.924,21.899,20.420,19.679,19.458,0.5440
23.656,22.514,21.192,19.953,19.575,0.6115
23.033,21.939,20.437,19.699,19.339,0.5490
24.650,21.328,19.848,19.198,18.635,0.4142
25.829,22.458,20.717,19.875,19.421,0.4489
23.097,21.804,20.215,19.559,19.043,0.4600
22.200,21.128,19.956,24.251,18.974,0.3442
25.584,21.968,20.138,19.207,18.715,0.5017
22.828,21.912,20.439,19.389,18.879,0.5029
22.727,22.775,21.242,20.032,19.567,0.7070
25.156,22.603,21.079,19.836,19.328,0.5504
24.633,21.577,20.064,19.211,18.824,0.4574
23.111,22.035,20.503,19.760,19.194,0.4400
26.159,23.350,21.312,20.068,19.718,0.6771
23.311,21.547,19.736,18.866,18.412,0.5031
24.783,22.464,20.998,19.978,19.616,0.5008
22.319,22.903,20.817,19.779,19.482,0.5966
23.079,20.973,19.446,18.716,18.387,0.3396
24.325,21.587,19.917,18.934,18.545,0.5317
25.450,22.095,20.444,19.557,19.040,0.5039
22.240,22.215,20.598,19.689,19.306,0.5992
22.643,20.233,18.855,18.096,17.807,0.3009
23.051,21.958,20.369,19.642,19.279,0.4642
24.424,22.104,20.064,19.260,18.883,0.3584
23.841,22.389,20.518,19.415,18.976,0.6207
22.767,20.217,18.841,17.905,17.423,0.0001
23.216,22.523,20.647,19.682,19.223,0.5058
25.436,22.349,20.652,19.588,19.220,0.5466
24.313,22.236,20.400,19.367,18.841,0.5530
23.646,21.920,20.388,19.426,19.032,0.5525
24.447,22.124,20.454,19.476,18.937,0.5477
23.250,21.942,20.101,19.227,18.623,0.5020
25.579,21.583,19.727,18.898,18.515,0.4672
-666.000,-666.000,-666.000,-666.000,-666.000,0.6776
25.580,22.214,20.532,19.650,19.170,0.5057
23.790,21.662,19.869,18.892,18.453,0.5020
24.799,22.189,20.622,19.809,19.351,0.5297
25.223,21.362,19.534,18.604,18.184,0.5021
23.784,22.174,20.283,19.073,18.640,0.6433
22.084,21.362,19.888,19.088,18.536,0.5210
22.524,21.685,20.073,19.428,19.027,0.3945
23.666,21.870,20.557,19.604,19.144,0.5836
25.562,21.965,20.270,19.252,18.882,0.6005
24.691,22.021,20.497,19.662,19.490,0.5498
22.912,21.613,20.228,19.490,19.208,0.2577
23.722,22.520,20.882,19.540,18.888,0.7567
23.788,21.852,20.068,19.120,18.607,0.5516
24.661,21.385,19.669,18.979,18.650,0.3407
22.967,22.504,20.877,19.823,19.470,0.5472
23.460,21.985,20.328,19.504,19.072,0.4542
24.292,22.071,20.462,19.484,19.024,0.5191
22.679,22.349,20.644,19.463,19.036,0.5836
22.701,20.979,19.268,18.462,17.993,0.4548
23.409,22.283,20.697,19.868,19.692,0.4528
25.932,22.656,20.985,20.137,19.924,0.4722
23.539,21.743,20.097,19.312,19.005,0.4454
24.006,21.840,20.221,19.210,18.735,0.5334
25.978,21.654,20.149,19.000,18.657,0.5333
23.740,21.752,20.034,19.141,18.614,0.5216
23.546,21.798,20.289,19.553,19.218,0.4788
25.530,22.704,20.808,19.615,19.341,0.6126
22.278,21.835,20.389,19.652,19.327,0.5621
23.939,22.293,21.294,20.241,19.663,0.6077
23.071,22.171,20.282,19.488,19.163,0.4615
25.828,21.227,19.491,18.780,18.227,0.4668
26.347,22.562,20.702,19.571,19.119,0.6111
25.207,22.020,20.341,19.274,18.816,0.5198
23.164,21.454,19.864,18.856,18.360,0.5570
23.015,22.148,20.608,19.688,19.140,0.5466
22.574,21.831,20.128,18.996,18.528,0.5472
23.649,21.947,20.455,19.402,18.955,0.5499
22.336,21.869,20.186,19.349,18.869,0.5496
21.739,20.961,19.213,18.392,18.013,0.4742
22.431,21.208,19.853,19.007,18.546,0.5510
24.803,22.576,21.266,20.084,19.716,0.5929
25.408,21.945,20.220,19.419,18.877,0.4474
23.226,21.394,19.683,18.783,18.298,0.5186
24.588,21.932,20.612,19.742,19.577,0.5513
22.458,20.888,19.139,18.436,17.973,0.4495
23.348,21.440,19.746,18.778,18.303,0.5456
